Provinsi,Tahun,Bulan,Kasus Aktif,Simpanan,- Giro,- Tabungan,- Simpanan Berjangka,Pinjaman yang diberikan,- Modal Kerja,- Investasi,- Konsumsi,Kredit UMKM,- Mikro,- Kecil,- Menengah
Jawa Tengah,2020,5,25025,340494759.0,38525225.0,181940074.0,120029460.0,396911165.0,213093249.0,73236053.0,110581863.0,124875875.0,46719128.0,43128755.0,35027992.0
Jawa Tengah,2020,6,42752,346901804.0,42636811.0,183590096.0,120674897.0,394282194.0,207880533.0,76099746.0,110301915.0,125300647.0,45802894.0,43547944.0,35949809.0
Jawa Tengah,2020,7,103909,350251738.0,42114093.0,185586263.0,122551383.0,392925261.0,205739367.0,76967627.0,110218267.0,125467720.0,44525731.0,43915372.0,37026618.0
Jawa Tengah,2020,8,107887,353601672.0,41591374.0,187582429.0,124427869.0,388712300.0,201945284.0,76677927.0,110089089.0,126510244.0,43336996.0,44726569.0,38446679.0
Jawa Tengah,2020,9,145906,363137199.0,43160466.0,191950568.0,128026165.0,391437780.0,204016132.0,76622201.0,110799447.0,127704779.0,42290739.0,45693153.0,39720887.0
Jawa Tengah,2021,4,670359,368087200.0,44081907.0,200325798.0,123679495.0,391874222.0,205061427.0,75279079.0,111533717.0,127044596.0,34317599.0,48004313.0,44722685.0
Jawa Tengah,2021,5,263786,370624527.0,43352520.0,203479577.0,123792430.0,393176130.0,205968974.0,75559865.0,111647291.0,126905486.0,33891395.0,49148160.0,43865931.0
Jawa Tengah,2021,6,654952,374790552.0,45895645.0,205630043.0,123264863.0,398305966.0,207692637.0,78540624.0,112072704.0,127337970.0,33174864.0,50317612.0,43845493.0
Jawa Tengah,2021,7,1662133,371771910.0,44972267.0,206458626.0,120341018.0,392807025.0,202727411.0,78188395.0,111891219.0,126695851.0,32187479.0,50760697.0,43747675.0
Jawa Tengah,2021,8,1125133,374734095.0,46446823.0,207863625.0,120423648.0,394306216.0,203867024.0,78347620.0,112091573.0,127924700.0,32328928.0,52190403.0,43405369.0
Jawa Tengah,2021,9,341951,383298659.0,49459886.0,210845989.0,122992785.0,400013799.0,209913931.0,75312676.0,114787193.0,129280393.0,32507040.0,53529942.0,43243411.0
Jawa Timur,2020,4,10399,596045804.0,97217563.0,248374164.0,250454077.0,568816899.0,302080990.0,105500999.0,161234910.0,158501503.0,45558144.0,52917468.0,60025891.0
Jawa Timur,2020,5,58892,596264007.0,93436321.0,254722016.0,248105670.0,579803543.0,310507344.0,105962865.0,163333335.0,157229013.0,45167856.0,52394802.0,59666355.0
Jawa Timur,2020,6,161051,609079166.0,103247403.0,256228597.0,249603165.0,574523255.0,306534222.0,105544048.0,162444985.0,157002128.0,44555001.0,52724273.0,59722854.0
Jawa Timur,2020,7,237109,622597183.0,102702831.0,264195583.0,255698770.0,573111529.0,305247433.0,105937453.0,161926644.0,158502014.0,42138750.0,53954320.0,62408945.0
Jawa Timur,2020,8,156657,618543819.0,103462824.0,261718497.0,253362498.0,570773045.0,302928084.0,106196633.0,161648328.0,157671731.0,42520875.0,53614987.0,61535869.0
Jawa Timur,2020,9,138686,626650547.0,101942837.0,266672669.0,258035041.0,575450013.0,307566781.0,105678272.0,162204960.0,159332296.0,41756624.0,54293652.0,63282020.0
Jawa Timur,2021,4,59049,656392320.0,112806574.0,286135046.0,257450701.0,564110964.0,298773084.0,100439134.0,164898746.0,162302557.0,36074010.0,58674838.0,67553710.0
Jawa Timur,2021,5,50236,650934172.0,109279720.0,282576765.0,259077687.0,560474636.0,296829563.0,100149905.0,163495168.0,161404220.0,35981279.0,58003082.0,67419860.0
Jawa Timur,2021,6,125110,661850468.0,116333427.0,289693326.0,255823715.0,567747291.0,300716605.0,100728363.0,166302323.0,163200893.0,36166741.0,59346593.0,67687560.0
Jawa Timur,2021,7,1064232,660707946.0,112181827.0,291678062.0,256848057.0,562066669.0,293496073.0,102954932.0,165615664.0,163331085.0,35892299.0,60118569.0,67320217.0
Jawa Timur,2021,8,981035,673182638.0,120059955.0,293550529.0,259572155.0,565107244.0,296397212.0,103145882.0,165564150.0,165033600.0,36451179.0,61859139.0,66723281.0
Jawa Timur,2021,9,148457,635151981.0,113857605.0,279447823.0,241846553.0,545889796.0,287054639.0,99143748.0,159691409.0,159507682.0,36620282.0,58843294.0,64044107.0
